time,resistance_reference,sensitivity_reference,test_1,test_2,test_3,test_4,test_5,test_6
0,249.52981529041037,249.76022041681676,246.65220532567633,249.35482886212807,240.102008478578,247.59388675513054,248.20031213099614,251.50190283562307
1,251.76503209002072,249.65822116381102,253.0599831034975,248.0763593487179,245.6475879867735,251.45783545631292,260.5576996949334,239.66573649018562
2,259.4955126688036,254.4707066826113,256.6617223631831,250.8050146812264,256.3610917312847,252.5732597218665,256.92619512819226,249.80783970799337
3,255.91122936068513,253.32131085367743,243.7934225457904,256.5081503638529,252.5752099890029,253.25002344746147,245.62079074187437,248.25042984178236
4,247.20899881180796,251.68164941642792,254.98707047358155,258.40841236734826,255.05737186777145,259.00448068332827,254.29596846702893,251.46637551008507
5,254.32954004409743,253.4467556712467,241.67187068402228,252.42126244897543,247.2432717906475,257.0564749563378,252.94373429267952,254.8463049799247
6,252.51940751943926,248.11190006948735,249.02585755328747,256.242473802375,248.86547163396742,259.9954058432868,244.4200044313596,255.84693754974055
7,256.3708087604153,252.37864051661415,251.98361151518608,254.92678198163668,246.17240449733097,259.15200677612444,253.07341527749935,259.8206019229658
8,250.22148551883632,244.7365592067997,245.0534644834449,251.92765726846127,251.299609184584,257.00847682327486,250.35044479374426,260.1587558620921
9,258.63113341923804,255.83419527567207,244.52422037155756,257.46492712900937,250.04050084890451,262.9810337199884,252.1988398336275,259.1760908999033
10,259.76651968838365,250.8736058975883,251.42572141683996,257.90058317600494,251.6675191537628,259.1242705874559,247.4896069359484,255.62017788309632
11,266.46152965654045,251.32575527944618,254.29464827555762,252.79638054077944,256.9748987908672,262.6946409214019,250.77878531474173,260.8589626838542
12,262.9576165412471,253.08056172216286,249.00678353150954,264.6781932185072,246.65617567228793,259.4552212807302,252.81784132576317,253.66067780974063
13,265.4914096223477,250.74894985431703,256.42346733753874,255.5184033479086,253.0383145860645,265.88434783664735,250.59622144373583,258.441989243119
14,259.49294581895003,249.89216418960393,248.08883247617382,264.49431516430366,244.57079991546757,266.4934539691662,249.0722846910911,265.9638973002722
15,276.78632791641496,255.80703777486775,258.4111149113088,261.37135492891764,254.7077596025408,271.9259087584011,251.08654034849178,264.88531536265816
16,262.75675893868737,251.6715234242139,252.08882508703107,264.6218253797409,248.64856661912262,280.7297111278515,248.0397658271734,257.8276167962134
17,277.84915718774806,247.73022260238957,252.79452499263817,267.7096808157566,250.26896404244644,286.40266197884426,253.61870140633707,263.08949299779306
18,275.5732568935536,253.3654407149294,254.59672271086745,276.35888345708247,251.26633675331516,284.9294370647437,242.31847705203953,271.43569561535315
19,277.3042314937072,245.03283000066256,253.74800868607355,271.9701968268391,257.4937427936088,285.2156139746598,258.9876960704231,272.92007390476414
20,282.6784829425003,258.7591496497998,260.2237379232529,280.15601891524216,250.99471417696236,293.72132490342057,253.63757112297515,277.80496679239263
21,287.70010278354465,251.7793768105219,262.10057061498946,291.6004693773362,249.37551983495493,297.1003325834283,255.78085158922403,269.7910456214097
22,297.6707688170154,253.0241521170248,255.95905918779894,287.68987023982766,246.91241255453858,300.26524496870167,257.8805900985683,275.74658588064045
23,302.2226148513379,262.30572019558343,253.68753400165363,296.105253265716,253.08148040825876,309.7858049406625,250.14238438262248,284.32281044215154
24,315.93375334112915,262.38155230660914,250.30885968717615,305.39957415127265,248.93377465687226,317.28449613560196,265.00671852478786,286.49040518961243
25,310.9319641693907,254.81357982065455,252.75878376158738,307.74867109258804,250.77412113352403,325.1000583342373,252.27325214457716,296.062316012904
26,327.46957545571297,257.5127278857084,256.69122941162885,320.2252491328574,253.18568723591775,343.3318686040387,259.6403924132677,302.7563872916636
27,334.20545174653523,260.1370021286287,257.25869048346726,324.90979284345866,256.5510029439706,347.07054407267907,260.23240349292524,311.44894535373817
28,352.2991195375424,263.382320681468,258.65030161897675,340.6426507297411,251.66526507964252,359.85682769555024,265.52242441585383,317.77710045518984
29,353.3361012395046,257.1396743140121,260.17921933493386,349.51332592705415,257.97169876710035,378.5102872074578,261.75375527498176,329.80664992606347
30,374.28411297110273,259.3660368691362,263.6731953638407,358.13014472963795,263.25128673562733,388.0362082141943,257.8959027399388,340.9784939212825
31,391.6171039586588,265.05756241994095,258.04647415473363,381.3614401053993,251.2175114274989,402.6061977401511,266.8607436105534,349.8829515145426
32,401.23043772883113,262.7692376856676,261.36351004677255,390.4620947058751,263.7902895443149,421.44600376699003,257.9849825051922,356.95441877415385
33,428.75278622192957,266.46722240470996,272.26309489958163,406.1126240445354,268.29090622713187,445.62663921037046,269.7033493624901,380.9364453844104
34,444.3736632951694,267.90485066261556,273.77251132714247,421.17652401838893,258.84300681988464,465.17073789688675,271.6840520112312,391.7296609557929
35,467.6515823190539,263.2357636243529,271.29882372852035,441.8419816523759,265.42414033182723,485.8280912955371,283.2274679935723,408.9538367198248
36,488.4264550788447,266.98357712324434,282.074209111428,463.30106130070783,259.48772779266415,504.58973646370225,279.78342330352837,425.5840305156808
37,502.48446504112053,262.87659438780605,278.1212525065396,485.3389225816318,268.6558732014254,525.276060950976,283.57464287653164,437.2489744253821
38,525.6935289941888,275.85239037218196,284.29645464972253,510.85742130197923,268.6367406852159,555.4990721862388,287.4262759687254,466.03736903804503
39,551.0117840148308,286.1821672787414,283.08627724643446,523.6717677792695,274.18229869964864,569.2633420163784,292.7893671787182,482.02871897876713
40,577.9918389038526,280.86679601150007,299.53850151747974,550.4855385089977,272.73752231151184,597.3743825958393,300.509713346416,501.56739392880695
41,601.5787552059837,295.32337579985335,302.62784526731684,579.8418596277584,277.0484850720333,615.8640622975873,312.4653394029313,534.1438130977556
42,618.2765484914183,300.1481971399141,314.282601150972,598.9580944261435,283.0167887040953,642.0243044138344,313.0240919941319,550.6721979687367
43,641.1673279523594,302.44348088589123,321.08743889686934,622.8032839944257,287.0338893240215,664.8541645150448,326.6974364215254,576.2403724706419
44,662.2189926951871,309.97302211393554,327.87978358969553,650.0227509446829,293.156191826597,691.3444989744565,331.9589751503026,601.8435934384984
45,684.0388918471451,318.5817128266102,338.4377027133145,666.8141725772983,301.3237727610366,694.9295215184878,348.57288172551335,627.7114994129876
46,705.3894969110453,324.03755165926026,354.00391083294426,688.294357642582,305.0197386591863,730.7166863852564,362.50491999544835,636.3688032581189
47,724.6608159187422,336.6443532812957,361.1890932540492,706.2303147046831,317.1154050925636,739.3600856782084,370.7527655932763,662.4893983793729
48,751.0649458091743,349.00937492139326,375.0897752281378,732.3107064877323,328.8492692059797,760.4747488781366,388.5139218074675,689.1727958515778
49,757.19797311154,364.25609319080286,391.0971623458852,747.0836123233393,327.9505593879354,777.6386785711895,407.6142283324142,703.7208385508336
50,773.1862121603824,378.82614175397146,410.4424572806284,756.3880285798975,349.410675660558,785.2116685088167,427.9248032301935,712.120147731177
51,790.0259695081312,387.80546004336566,428.56466243396767,776.5828498959243,358.2390887490906,800.5348494356801,447.49124736863797,743.4829213752625
52,796.99207159001,410.4703646291503,451.39679844880436,783.6451686169527,370.5819073494323,814.2841914833375,463.19121092361286,760.2010314033166
53,810.7518165036888,421.7004417285013,463.38838747816635,805.1976486291851,384.7864393432793,822.1123011293249,480.5931301588115,777.6099199261198
54,822.5713746102675,442.983143446786,489.7435773908281,814.9545957975256,403.1414819558462,828.8963936311322,499.8957119491242,789.187345349045
55,834.846203524897,465.1021766589079,503.90055361071194,821.9174265185447,421.19286125921644,840.8476368451235,532.0141612015453,799.0979622319487
56,834.7324718760192,484.4991020559864,531.4247819840258,830.1779755608478,444.3921791229315,847.8761159583988,557.4209546147821,813.1583073860577
57,852.8230281966979,505.8960399848522,552.4637828633414,832.8492399585182,457.91703792118386,847.9584193021028,576.4678399196409,822.4486856202828
58,852.4401580883741,529.9624770572822,582.0876757580759,850.4210969314469,488.1024463693473,865.1551008648718,604.4509006962153,829.7844796216099
59,860.2895041782352,549.6139177640998,600.7682401524723,853.4081107229237,502.47167125786484,865.7129236140994,619.2946890048693,841.0989756621736
60,868.0847302295216,572.3893354233763,619.4855088392974,858.3891391436626,530.9688174264168,859.6007019533232,642.0222716552425,848.8404210727323
61,871.8163541214898,597.3584296109163,646.0780740347384,867.6103192165701,555.5354831253445,869.9053146133789,671.7051443246013,849.8381443782275
62,877.3440543556529,624.9603728238374,666.9696716987945,866.5321940204501,569.4783169807183,883.5618857244348,682.3246944785321,863.8180462725916
63,877.2508415012693,643.1894443719428,685.2868426772797,870.7747828080712,601.851332547692,886.0594057141105,708.7636837260195,868.1029478769539
64,879.5022054159814,673.0283696873782,705.3449655905999,873.7921277984219,629.2910684056204,883.4369566127365,726.733427015994,872.4141249276532
65,883.4905027395995,687.232857850777,721.5973144319265,874.1758888648176,641.3089392950156,877.9283446103624,743.4441079002085,862.1170993220486
66,880.5517258804467,694.443595948742,754.0498156999981,891.8675198441779,667.276019471945,885.7358546967387,766.1691668277407,877.1003244352619
67,891.4075265003796,723.4298613224731,759.9551931181426,883.7581960019432,685.437752087374,892.6855043733422,770.809293264093,879.1499808023848
68,885.2074185300763,749.4926243646812,778.4317224813035,885.1487132234964,706.2870731843717,891.5579228156009,786.4684362787549,878.2593297863532
69,884.799998949655,759.2489710906235,783.7236962453974,891.9075560396964,724.0882763957644,889.9873336909568,792.4087378586372,886.9400737256948
70,899.4006391103203,772.5897749230229,796.6569072896622,877.2371232289103,740.5112321714469,889.53739158488,808.0134353727594,880.5566209541963
71,891.7901743302181,784.6970196357624,811.8108282625927,891.041911912543,761.8446228501813,896.7984181288638,820.4523194780414,893.3322486833536
72,888.6292638550984,806.0995591652478,822.1210148113553,892.3728071464099,777.6230322355084,893.5275519482136,830.1870141168525,891.4584194955538
73,901.6327962130446,816.237623208122,835.1584318109484,889.4403682710619,787.9691674874717,896.437226152202,839.1751853616413,889.2006870169099
74,893.6678870189068,825.2062400826242,836.1816254202841,896.0363527930829,806.6645696137405,897.7767505987854,848.5332680978635,898.131928642075
75,899.8979500503572,833.4620274981918,849.6974961039705,886.8464140225643,816.4081230135636,902.946143272928,851.1627752519885,895.2638596403496
76,892.9074571164634,845.7601563230601,860.1122013532034,895.6134111931964,825.1760502107817,897.6225869173395,851.6528834533208,895.6290975496375
77,895.7302415536253,850.6219571771414,856.1572550009037,899.6692873088157,828.7372487766893,898.3596659508929,865.3036675192817,889.7990397735517
78,890.4052658828558,848.9307859390794,868.5382255150294,887.7056740693799,847.48202566605,890.5500572675741,870.8607513692721,897.8268100479509
79,889.900341305335,862.685612653491,865.5335744939557,891.1931832106667,852.5144399391334,902.47778888232,868.4356316549881,901.9517760526766
80,893.9572817468919,865.3748823542518,874.6949767568765,896.685889274169,845.153104747147,901.8692192716712,873.390852987217,901.2171490333067
81,897.8345321564632,868.731903259751,878.2147936113827,897.51704497075,855.0870937011792,898.5021659085971,886.6526713605991,892.0110681760691
82,901.5847377889316,876.160679323973,886.7338104934893,895.2306362951399,862.703081576811,889.6812009415407,886.3476652285351,903.1810976390841
83,908.3111727106509,876.6715962561408,879.6652774597412,899.4621531034085,872.8546387823435,896.7024775659991,888.9048379048565,904.3624618750265
84,894.6640272782473,867.8464394134884,885.4114937618593,899.1579725456945,878.0210136118852,899.4203500416095,889.2383234155403,901.5922824935558
85,902.9882619125333,888.4541410624333,890.9288406954254,892.9374788180776,875.3462192118409,907.6512297561255,888.8935655796228,896.8760912463597
86,896.6740404367887,888.6854674468157,883.8240558162959,898.0547950350419,880.5161578630967,901.7402799123192,887.7850304930312,892.5789149320055
87,898.6020946238276,886.0604201409715,890.0076950096027,893.456049312991,884.9717351962732,902.6578972951443,893.4707231222885,895.1450423470642
88,893.3922071878301,886.8193770085171,887.8973641241615,890.3414868589196,879.4000270246997,902.8547818074871,891.5330336753523,896.6271791656154
89,893.491873776158,890.7475681767919,889.7302853243743,889.0749121693992,888.8868792276108,904.9939526507853,891.5701465395916,900.192032564537
90,896.3727447266692,886.0374286795313,896.2755206274215,902.9006826930658,887.0602768885955,895.1722381919865,894.1736237271796,901.427051170902
91,894.7824444441491,893.5615767428297,897.2276029784623,898.333362036326,890.5622832824992,896.3630823802047,894.6578520202378,896.3091213198234
92,899.599888578613,892.4249751013035,905.4991619939836,906.7277006963039,890.9672818512496,895.0916709629366,899.2205674146967,892.7848660448497
93,896.8553928468625,892.8119139631443,901.359468605463,893.0904075396153,887.6010593248213,898.7212994195486,892.3615424467677,897.7838460344923
94,904.7127550300827,891.2942632932119,901.5829946218907,897.5641326609946,889.3568273312993,898.4782353087857,906.744585012201,894.1510693708858
95,900.3606404822084,892.9351020965971,896.2583064306422,900.3767822082406,894.3848511451343,900.3364743769105,893.1012127318179,904.9211707304385
